Name,Reviews_Count,Followers,Rating,Review,Processed_Review,Sentiment,Issue_Category,Topic
Achsah,0 reviews,0 Followers,5.0,"loved the cold coffee, specially how flavourful it was. really grateful to Asif for recommending the coffee! the ambiance is amazing",loved cold specially flavourful really grateful asif recommending ambiance amazing,Positive,General,Service
Chandni Sabnani,0 reviews,23 Followers,5.0,Mr. Asif gave us very good service. thank you,asif gave us good thank,Positive,General,Service
Ronit Sarawgi,0 reviews,66 Followers,5.0,"My go to spot with friends, Asif Shaikh has always helped us! Great service and hospitality!",go spot asif shaikh always helped great service,Positive,Service,Service
ANVI AGGARWAL,0 reviews,0 Followers,5.0,"Asif, very nice service, and handling",nice handling,Positive,General,Timing
Dhiaa Navlani,0 reviews,0 Followers,5.0,"Asif/Sonalika
We loved the service of the individual they greeted us the best we loved the food as well",loved service individual greeted us best loved food well,Positive,"Service, Food Quality",Service
Abhiraj,0 reviews,0 Followers,5.0,Asis was amazing,asis amazing,Positive,General,Service
Gurpreet Saini,0 reviews,0 Followers,5.0,Sonalika made great coffee. Asif’s service is great,sonalika made great service great,Positive,Service,Service
Nitika Jain,0 reviews,0 Followers,5.0,"Great ambience
Asif was very courteous and nice
Sonalika made amazing coffee",great ambience asif courteous nice sonalika made amazing coffee,Positive,"Food Quality, Location",Service
Akshita Jain,0 reviews,0 Followers,5.0,Really great service! Thanks Asif for the hospitality,really great thanks asif hospitality,Positive,General,Location
Naisha Soni,0 reviews,0 Followers,5.0,"Amazing place with a very friendly staff, and a very good service by Asif, would. recommend all my friends to come here:)",amazing place friendly good service recommend friends come,Positive,"Service, Location",Service
Mayank Prashar,0 reviews,0 Followers,5.0,Had a great coffee .Asif made sure that we have a comfortable time here,great coffee made sure comfortable time,Positive,Food Quality,Food
Juhi Khandelwal,0 reviews,0 Followers,5.0,"“Great service! The staff was friendly, attentive, and asif ensured a seamless coffee experience. Will definitely visit again!”",staff asif ensured seamless coffee definitely visit,Positive,"Service, Food Quality",Service
Paras Shah,0 reviews,3 Followers,5.0,"The experience is amazing. The coffees which we tried were very good and their concept of giving a sample to taste the coffee before serving is great so as to we can make changes in the drink if we want. Mahesh was a great server and was kind and helful throughout.
Amazing experience in all.",experience coffees tried good concept giving sample taste coffee serving great make changes drink mahesh great server kind helful amazing experience,Positive,Food Quality,Service
Isha Shah,0 reviews,13 Followers,5.0,we like the place and the ambience. the coffee tat we ordered was really good. that was recommended by asif .he was very cordial ..👍,like place coffee tat ordered really recommended asif cordial,Positive,"Food Quality, Location",Food
Ashutosh Anwane,0 reviews,1 Followers,5.0,"Asif shaikh he suggest really nice coffee and tasted good as well , very much recommended",asif shaikh suggest really nice coffee tasted good well much recommended,Positive,Food Quality,Service
Sana,0 reviews,1 Followers,5.0,"The coffee here is absolutely amazing. A taste that would want you to keep coming back for more. Definitely my favourite place from now on. Miss Sonalika was so polite and her recommendation after listening to my interests was spot on, going to Make it my regular coffee order!",coffee absolutely taste would want keep coming back definitely favourite place miss sonalika polite recommendation listening interests spot going make regular coffee,Positive,"Service, Food Quality, Location",Food
Rashi,0 reviews,0 Followers,5.0,excellent service by ASIF,excellent service asif,Positive,Service,Service
Dev,0 reviews,0 Followers,5.0,Great food and service. Thank you Asif,great food thank asif,Positive,Food Quality,Service
Manish Ladda,0 reviews,24 Followers,5.0,"Manoj bhaiya was amazing, his service was great.
Food was very tasty",manoj bhaiya service food tasty,Neutral,"Service, Food Quality",Service
Subhansu,0 reviews,138 Followers,5.0,"Great coffee
Great staff
Thanks Asif for great service",great coffee great staff thanks asif great service,Positive,"Service, Food Quality",Service
Keshav Garg,0 reviews,2 Followers,5.0,asif and sonalika were very nice. had a great experience. the coffee tastes amazing,asif sonalika great coffee tastes amazing,Positive,Food Quality,Service
Harshil Chopra,0 reviews,0 Followers,5.0,Manoj was the best person available for your service at ettarra,manoj best person available service ettarra,Positive,Service,Service
Japneet Kaur,0 reviews,0 Followers,5.0,"It was a nice experience here, and the coffee is affordable and delicious. Thanks, Mr. Ashish and Mr. Manoj for helping me with my experience and also through guiding me",nice experience coffee affordable ashish manoj helping experience also guiding,Positive,Food Quality,Location
Parakh,0 reviews,3 Followers,5.0,Great service by Asif,great service asif,Positive,Service,Service
Hasti Irani,0 reviews,0 Followers,5.0,Asif /sonalika server is great,asif server great,Positive,General,Service
Shaunak Deshpande,0 reviews,1 Followers,5.0,"Good Place, Grate vibe, Great service. especially Asif and sonalika were very sweet.",good grate great especially asif sonalika,Positive,General,Service
Spruha Karmore,0 reviews,1 Followers,5.0,Very good coffeee n even better service by Asif!!,good coffeee n even better service,Positive,"Service, Food Quality",Service
Anmay Motghare,0 reviews,0 Followers,5.0,"Its been a great place , had an amazing experience , aasif and recommendations were great , must visit!",great place amazing experience aasif recommendations great must,Positive,Location,Service
Mahika Taneja,0 reviews,0 Followers,5.0,"Asif/ Sonalika their service was the best
We loved the classic frape and the baked vada pav and baked pav bhaji were amazing .",sonalika service best loved classic frape baked vada pav baked pav bhaji amazing,Positive,Service,Food
Manasi Mishra,0 reviews,0 Followers,5.0,"It has been my go to place for a while now. Love the coffee. Food is good too. And the staff is just too sweet, especially Asif and Sonalika, they're are always ready to recommend the best!",go place love food good staff especially asif always ready recommend,Positive,"Service, Food Quality, Location",Service
Udisha,0 reviews,0 Followers,5.0,Asif was really helpful and sweet!,asif really helpful,Positive,General,Service
Devanshi,0 reviews,0 Followers,5.0,"Good food, good service
Thankyou asif for great service",good good service thankyou asif great service,Positive,Service,Service
Rajvansh Singh Hora,0 reviews,0 Followers,5.0,i had an amazing experience. the service provided by asi sheikh was excellent!!,amazing service provided asi sheikh,Positive,Service,Service
Santosh Agrawal,0 reviews,0 Followers,5.0,I had an amazing experience. Thanks to asi sheikh!!,amazing thanks asi,Positive,General,Location
Suhana Sacheti,0 reviews,0 Followers,5.0,Asif gave us really good service and was very helpful,asif gave us really good service helpful,Positive,Service,Service
Suman,0 reviews,2 Followers,5.0,"Great place.. Good vibe
The place has good food and excellent coffee options. Loved their original south indian frappe
Asif was great with his recommendations! Must visit",great good vibe place good food excellent coffee loved original south indian frappe asif great must visit,Positive,"Food Quality, Location",Service
Megha Agarwal,0 reviews,0 Followers,5.0,"The staffs are very rude, they don’t know how to talk to the customers, we celebrated our friends birthday taking permission, they themselves allowed us, and then they say you can just cut the cake but can’t eat it here, secondly they complained and asked for extra money just because there were cakes lying down on the floor. Need to look after the staff service they provide.",staffs know talk celebrated friends birthday taking allowed say cut cake eat secondly complained asked extra money cakes lying need look staff service,Positive,Service,Food
Tanvi Panpalia,0 reviews,0 Followers,5.0,Good service by Asim,good service asim,Positive,Service,Timing
Paridhi,0 reviews,2 Followers,5.0,"Amazing coffee, even better service! Special thanks to our server Asif Sheikh🙌",amazing even better special thanks server asif,Positive,General,Service
Harsha Somani,0 reviews,0 Followers,5.0,"Amazing place, great coffee! good service by asif!",amazing great good service,Positive,Service,Service
Ayushi,0 reviews,0 Followers,5.0,"Had a lovely experience.
Here Asif and Sonalika are the nicee guyysss .",lovely asif sonalika nicee guyysss,Positive,General,Service
Rounak Golchha,0 reviews,0 Followers,5.0,Had a lovely experience with Asif and Sonalika..,lovely experience asif,Positive,General,Location
Riya Patodia,0 reviews,0 Followers,5.0,"Had a really great experience. Loved the coffee here. Asif, Manoj and Sonalika were the sweetest.",really great loved coffee manoj sonalika,Positive,Food Quality,Service
Siya,0 reviews,0 Followers,5.0,"I recently visited this coffee shop, and I must say, Manoj made the experience exceptional. From the moment I walked in, his warm smile and friendly demeanor made me feel right at home Manoj's attention to detail, from the presentation of the drink to ensuring my comfort, was much appreciated. It's rare to find service that makes you want to return as much as the coffee itself, but Manoj's genuine care for customers truly sets this place apart.",recently visited coffee must manoj made experience moment walked warm smile friendly demeanor made feel right home attention presentation drink ensuring much rare find service makes want return much coffee genuine care customers truly sets place,Positive,"Service, Food Quality, Location",Food
Aagya Mutha,0 reviews,5 Followers,5.0,Manoj did a good job,manoj good job,Positive,General,Timing
Manan,0 reviews,0 Followers,5.0,Great place for coffee..,great place,Positive,Location,Location
Siddhi Motipara,0 reviews,0 Followers,5.0,"The coffee is damn nice, manoj’s service is great",coffee damn service great,Positive,"Service, Food Quality",Service
Mahima Hasija,0 reviews,0 Followers,5.0,"love this place ! we go here all the time, the ambience is so comforting and the staff are all so friendly we want to keep coming back- thanks to Mr Manoj for his professionalism and our favourite dearest Miss Shonalika who never fails to greet us with a smile ! lots of love",love place go ambience comforting staff friendly want keep coming thanks mr manoj professionalism favourite dearest miss shonalika never fails greet us smile lots love,Positive,"Service, Location",Location
Ravina Keni,0 reviews,0 Followers,5.0,"This cafe is cosy , a place where you can go to chill.
I tried their baked vadapav , benne croissant, donut , coffee.
I loved the south indian touch to the dishes , complementary banana chips were just a wow element.

Asif provided us with the best of service , the place itself has a good service system.
Asif suggested us the best of dishes and also provided small coffee shots to taste so we can the best coffee just how we like it.

Their coffee is a must try!",cafe cosy place go tried baked vadapav benne donut loved south indian touch dishes complementary banana chips wow asif provided us best service place good service asif suggested us best dishes also provided small coffee shots taste best coffee like coffee must,Positive,"Service, Food Quality, Location",Service
Parag Rochwani,0 reviews,0 Followers,5.0,Very kind nature from your staff mr manoj and really very good taste of the coffee,kind nature staff mr manoj really good taste coffee,Positive,"Service, Food Quality",Location
Anuja Das,0 reviews,0 Followers,5.0,Manoj good coffee,manoj good coffee,Positive,Food Quality,Service
Aayush Bhandari,0 reviews,0 Followers,5.0,Manoj bhai is very Good person,manoj bhai good person,Positive,General,Service
Pratik Sharma,0 reviews,4 Followers,5.0,"Manoj ji was an amazing host, loved the coffee and the baked Vada pav! Loved the hospitality as well, must visit!",manoj ji amazing loved coffee baked vada loved hospitality must,Positive,Food Quality,Food
Akalpita Asudani,0 reviews,0 Followers,5.0,Great service by Asif,great service asif,Positive,Service,Service
Mariya,0 reviews,5 Followers,5.0,Really cute ambience. Manoj helped us get a table quickly and was very attentive,really cute manoj helped us get table quickly attentive,Positive,Timing,Timing
Jash Chhajed,0 reviews,10 Followers,5.0,Mr. Manoj serves amazing coffee at this cafe. Please go and try,manoj serves amazing coffee please go try,Positive,Food Quality,Service
Jash Shah,0 reviews,0 Followers,4.0,"The best coffee spot with exceptional service provided by the server, Mañoj Pandit.",best coffee spot exceptional service provided mañoj,Positive,"Service, Food Quality",Service
Mohnish Rander,0 reviews,0 Followers,4.0,Best coffee house in bombay and loved the service by manoj pandit bhaiya ! He really treated us very well,best coffee house bombay loved service manoj pandit bhaiya really treated us well,Positive,"Service, Food Quality",Service
Naman Gandhi,0 reviews,0 Followers,4.0,"Good place for berliners
I truly recommend this place for sweets,berliners and coffee in juhu
great service by manoj.",good place berliners truly recommend place coffee juhu great service,Positive,"Service, Food Quality, Location",Service
Laksh Mehta,0 reviews,0 Followers,4.0,Great service by Manoj Bhai,great service manoj bhai,Positive,Service,Service
Nitish Paswan,0 reviews,0 Followers,4.0,Manoj Hot chocolate 👍💯,manoj hot chocolate,Positive,General,Location
Kanay Gandhi,0 reviews,2 Followers,5.0,"Delicious hot chocolate
great service by Manoj",delicious hot chocolate great service manoj,Positive,"Service, Food Quality",Location
Abdur Rehman,0 reviews,0 Followers,5.0,Manoj was very helpful in catering and the coffee was amazing,manoj helpful catering coffee amazing,Positive,Food Quality,Service
Hridaygulati277,0 reviews,2 Followers,5.0,"Great vibe and food, Manoj was very helpful and kind in his service",great vibe manoj helpful kind service,Positive,Service,Service
Rinkal Bhatia,0 reviews,313 Followers,5.0,Manoj the man goes out of his way to serve and make it the most beautiful experience at the coffee shop.,manoj man goes way serve make beautiful experience coffee,Positive,Food Quality,Location
Nirroze Putcha,0 reviews,78 Followers,5.0,Manoj has given amazing service thank you Manoj,manoj given amazing service thank manoj,Positive,Service,Service
Tharun Bangera,0 reviews,0 Followers,5.0,"Manoj's service was amazing, and that hot chocolate? Easily the best I've had in a long time!",service hot easily best long,Positive,"Service, Timing",Service
Rohit Kanchan,0 reviews,142 Followers,5.0,"Chill place , must try Narilyal cascarra, warm treatment by staff , Manoj",chill place must try narilyal warm treatment staff manoj,Positive,"Service, Location",Location
Ananya Khetan,0 reviews,0 Followers,5.0,Love the coffee and great service of manoj,love coffee great service manoj,Positive,"Service, Food Quality",Service
Aish Jain,0 reviews,0 Followers,5.0,Great service by Manoj nice place great value coffee,great service manoj nice place great value coffee,Positive,"Service, Food Quality, Location",Location
Nimit Patel,0 reviews,0 Followers,5.0,Your staff manoj is amazing,staff manoj amazing,Positive,Service,Location
Gaurav,0 reviews,0 Followers,5.0,Absolutely love this places. Manoj is a great guy and gives the best service at ettara…,absolutely love manoj great guy gives best service,Positive,Service,Service
Vasudha,0 reviews,0 Followers,5.0,"Amazing coffee and variety of options. A perfect place to sit & talk & chill. Staff is incredible, especially manohar, to select the right taste if you’re indecisive",amazing coffee variety perfect place sit talk staff especially select right taste indecisive,Positive,"Service, Food Quality, Location",Location
Pranay,0 reviews,0 Followers,5.0,Asif was an excellent host. and the coffee is excellent,asif excellent coffee excellent,Positive,Food Quality,Service
Yash Raj Singh,0 reviews,214 Followers,5.0,,nan,Neutral,General,Food
Sanket Rathod,0 reviews,77 Followers,5.0,"Ettarra is one of the best coffee places in mumbai and the only coffee place which is open 24x7.. Also Manoj Pandit is one of the best servers here, always ask for him to place your orders.",ettarra one best coffee places mumbai coffee place open also manoj pandit one best servers always ask place,Positive,"Food Quality, Location",Service
Nishit,0 reviews,0 Followers,5.0,"Ultimate service by the staff manoj bhai and very good behavior
Great south indian style filter coffee
Must try",ultimate service staff manoj bhai good behavior great south indian style filter coffee must try,Positive,"Service, Food Quality",Service
Sia Agarwal,0 reviews,0 Followers,5.0,Manoj/ Asif,asif,Neutral,General,Service
Rohit Khanwani,0 reviews,7 Followers,5.0,Manoj a very nice person proud of you and your service love youuu😘😘😘😘,manoj nice person proud service love,Positive,Service,Service
Bhavika,0 reviews,1 Followers,5.0,"This coffee shop offers welcoming atmosphere and friendly staff. The coffee is rich and flavourful. Also loved their lotus biscoff mousse… A perfect spot to enjoy this cool weather!


Asif shaikh was the best in service!",coffee shop offers welcoming atmosphere friendly coffee rich also loved lotus biscoff perfect spot enjoy cool asif shaikh best,Positive,"Service, Food Quality",Food
Maria Mathew,0 reviews,1 Followers,5.0,"Asif
good service
great place to relax",asif good service great place relax,Positive,"Service, Location",Service
Kavya Reddy,0 reviews,0 Followers,5.0,asif service was good and the ambience is great...,asif service good ambience,Positive,"Service, Location",Service
Kreamsy Bhuwariya,0 reviews,0 Followers,5.0,"The service was really good , so was the taste , Asif was very friendly",service really good taste asif friendly,Positive,Service,Service
Sneha Mundra,0 reviews,0 Followers,5.0,Asif provided a really good service,asif provided really good service,Positive,Service,Service
Devrnambiar King1975,0 reviews,1 Followers,5.0,Asif Bhai served us great coffee and great service,asif bhai served us great coffee great service,Positive,"Service, Food Quality",Service
Preet Mehta,0 reviews,0 Followers,5.0,Asif was a very nice person,asif nice person,Positive,General,Service
Yash Gada,0 reviews,2 Followers,5.0,Loved the coffee and Asif's service,loved coffee service,Positive,"Service, Food Quality",Service
Kartik Choudhary,0 reviews,3 Followers,5.0,Asim was a handful person. He helped with good recommendations and smooth serving. Enjoyed it!!,asim handful helped good recommendations smooth enjoyed,Positive,General,Timing
Nikunj Rele,0 reviews,95 Followers,5.0,"Great coffee, great food, great service. Especially by Asif. He took great care of us and was prompt, polite and made sure hospitality was amazing! Plus the place is pet friendly!",great great great especially took great care us polite made sure hospitality plus place pet,Positive,"Service, Location",Location
Ankit Kaul,0 reviews,4 Followers,5.0,"Great coffee and the best part is the free banana chips!

Good service by Asif, he made sure we had everything we needed.",great coffee best part free banana good service made sure everything,Positive,"Service, Food Quality",Location
Vishvesh Bhatt,0 reviews,20 Followers,5.0,"Amazing food... The vibe is cool...
Asif provided amazing service..
A must visit..",amazing vibe asif provided amazing must,Positive,General,Service
Juhi,0 reviews,0 Followers,5.0,"I love the place, must try!
Asif bhaiya served us very well!",love must asif bhaiya served us,Positive,General,Service
Hiren Shah,0 reviews,18 Followers,5.0,coffee and food is really good. Asif is very helpful for suggestions and services.,coffee food really asif helpful suggestions,Positive,Food Quality,Service
Esha Shah,0 reviews,0 Followers,5.0,"best coffee ever. should definitely give it a try
great service by manoj and asif",best coffee definitely give try great service manoj asif,Positive,"Service, Food Quality",Service
Diya Shah,0 reviews,1 Followers,5.0,Asif and Manoj were really good servers love the place,asif manoj really good servers love place,Positive,Location,Service
Anirudh Dhelia,0 reviews,0 Followers,5.0,thr coffee was great and the server Asif was also great.,thr coffee great server asif also,Positive,Food Quality,Service
Mr. Kartikey Rohilla,0 reviews,0 Followers,5.0,"Very happening place, and an amazing service by Asif.",happening amazing service,Positive,Service,Service
Piyush Sutariya,0 reviews,6 Followers,5.0,"Asif explained all coffee, with best of food available. Excellent coffee!! Great place ro visit.",asif explained best food excellent great place ro,Positive,"Food Quality, Location",Service
D Patel,0 reviews,1 Followers,5.0,"Asif took excellent care of understanding the coffee choice and suggested best out of the one available.
Would surely suggest this place.",asif took excellent care understanding coffee choice suggested best one would surely suggest,Positive,Food Quality,Food
Darsh Suchak,0 reviews,0 Followers,5.0,It was an amazing experience as always with Asif!,amazing experience always,Positive,General,Service
Ritul,0 reviews,0 Followers,5.0,loved the coffee and the service by Asif sir! The behaviour of staff is very friendly and loved the vibe. Must visit,loved coffee service asif behaviour staff friendly loved must visit,Positive,"Service, Food Quality",Service
Yasmeen,0 reviews,0 Followers,5.0,Itna late order aata hai aur thanda hota hai sub food.. very disappointing,itna late order aata hai aur thanda hota hai sub disappointing,Negative,General,Food
Yash Shah,0 reviews,38 Followers,5.0,Thanks to Asif shaikh for serving hot chocolate and firecracker croissants!,thanks asif shaikh serving hot chocolate firecracker,Positive,General,Service
Naman Jain,0 reviews,3 Followers,5.0,Aasib served us well!,aasib served us,Neutral,General,Location
Aasthad171,0 reviews,20 Followers,5.0,The food options are a limited but the coffee is great and our server Asib was lovely!,food options limited coffee great server asib,Positive,Food Quality,Service
Muskan Mittal,0 reviews,0 Followers,5.0,Wonderful service by Asif! Absolutely loved the experience,wonderful service absolutely loved experience,Positive,Service,Service
Dev Kumar,0 reviews,0 Followers,5.0,"Asif, great food loved it",great food loved,Positive,Food Quality,Service
Kaavya Maheshwari,0 reviews,0 Followers,5.0,Great coffee and food. Outdoor sitting in the evening is lovely. Asif our waiter was great too.,great coffee outdoor sitting evening asif waiter great,Positive,"Service, Food Quality",Location
Rahul Gunda,0 reviews,0 Followers,5.0,"A great pick for coffee lovers looking for something cool and invigorating.The south Indian coffee essence adds a unique twist.
The service provided by Asif was exceptional...attentive,polite and ensured had a comfortable experience throughout😀",great pick coffee lovers looking something cool south indian coffee essence adds unique service provided asif ensured comfortable experience,Positive,"Service, Food Quality",Service
Himanshi,0 reviews,0 Followers,5.0,,nan,Neutral,General,Food
Priyamvada Bagla,0 reviews,4 Followers,5.0,Fabulous service by Asif!,fabulous service,Positive,Service,Service
Aman Singh,0 reviews,0 Followers,5.0,Service was very good by Mr.Asif shaikh,service good shaikh,Positive,Service,Service
Bhavesh Rohra,0 reviews,0 Followers,5.0,"Great place, great food. Aasif was very polite, provided excellent service.",great great aasif provided excellent,Positive,General,Service
Diana Driver,0 reviews,17 Followers,5.0,asif,asif,Neutral,General,Service
Yuthika Patil,0 reviews,1 Followers,5.0,great coffee and amazing service by asif! highly recommend having coffee and the mushroom croissant here,great coffee amazing service highly recommend coffee mushroom croissant,Positive,"Service, Food Quality",Service
Suhani,0 reviews,0 Followers,5.0,Asif Shaikh is good 😊,asif shaikh good,Positive,General,Service
Vishal Pathak,0 reviews,0 Followers,5.0,asif shaikh he is very good guys good experience on this caff,asif shaikh good guys good experience caff,Positive,General,Service
Neha Kaushik,0 reviews,0 Followers,5.0,"Asif , waiter served very well in this cafe",asif waiter served well cafe,Neutral,Service,Service
Rakshita Jangid,0 reviews,0 Followers,5.0,Asif is really good server.,asif really good,Positive,General,Service
Shaurya Goyal,0 reviews,0 Followers,5.0,Asif sheik very good behaviour and excellent food and drinks,asif sheik good behaviour excellent food drinks,Positive,Food Quality,Service
Khushi,0 reviews,0 Followers,5.0,"Beautiful ambience with amazing food & amazing people. Asif shaikh is very polite & generous. Love the placeee overall, must visit",beautiful ambience amazing food amazing asif shaikh polite love placeee must visit,Positive,"Service, Food Quality, Location",Service
Dhananjay Zaveri,0 reviews,0 Followers,5.0,Asif helped us a lot and he’s a great guy with great skills and provides lot of comfort and help during whole exp in ttarra,asif helped us lot great guy great skills provides lot comfort help whole exp ttarra,Positive,General,Service
S,0 reviews,0 Followers,5.0,Amazing coffee & even better service by asif,amazing coffee even better service asif,Positive,"Service, Food Quality",Service
Bhrigu Bhargava,0 reviews,0 Followers,5.0,"Asif Sheikh
I liked the coffee and ambience. Also, the staff was very sweet and corporative",asif sheikh liked coffee staff sweet corporative,Positive,"Service, Food Quality",Location
Divij Sethi,0 reviews,3 Followers,5.0,Very good service by Asif sheikh,good service asif sheikh,Positive,Service,Service
Rishabh Gigras,0 reviews,1 Followers,5.0,Great service by Asif Shaikh,great service asif shaikh,Positive,Service,Service
Ali Naqi,0 reviews,0 Followers,5.0,Asif is too good at his services,asif good services,Positive,Service,Service
Gagan Poddar,0 reviews,1 Followers,5.0,"Great coffee, great service, polite staff(Asif)✌️",great great polite,Positive,Service,Location
Khushi,0 reviews,8 Followers,5.0,"Asit shaikh

very good service",asit shaikh good service,Positive,Service,Service
Payal Mahana,0 reviews,0 Followers,5.0,Lovely ambience and great hospitality by Asif Shaikh,lovely ambience great hospitality asif shaikh,Positive,Location,Location
Aditya Soni,0 reviews,0 Followers,5.0,"Asif

“A delightful haven for coffee enthusiasts! The aroma pulls you in, the rich, perfectly brewed coffee warms your soul, and the cozy ambiance makes you never want to leave. A must-visit spot for pure coffee bliss!”",asif delightful coffee aroma pulls perfectly brewed coffee warms cozy ambiance makes never want spot pure coffee,Positive,"Food Quality, Location",Food
Mehak Sharma,0 reviews,0 Followers,5.0,"Asif Shaikh was incredibly kind and helpful throughout my experience at ETTARRA. After visiting, I would choose ETTARRA over Starbucks or Tim Hortons any day. The entire experience is unlike any other coffee shop. It's more than just a place to get coffee; it's an immersive experience. The water initiative concept, combined with the warm hospitality of the owner and staff, is truly commendable.",asif shaikh incredibly kind helpful throughout experience would choose ettarra starbucks tim hortons entire experience unlike coffee place get immersive water initiative combined warm hospitality owner truly,Positive,"Food Quality, Location",Service
Seeza,0 reviews,0 Followers,5.0,Original taste with quality. Perfect desert option after lunch and dinner.,original taste perfect desert option lunch,Positive,General,Location
Vignesh Chandrasekaran,0 reviews,2 Followers,5.0,"The ambience of the place is really good. Service and support of the staff, Mr Asif Sheik was very opulent. The cappuccino offered was really superb. Would suggest to visit after 10pm. And specially during winters the outside seating is awesome!!",ambience place really service support mr asif sheik cappuccino offered really would suggest visit specially winters outside seating,Positive,"Service, Location",Service
Hritik,0 reviews,0 Followers,5.0,"The place is worth a visit, food is drool worthy and asif was very helpful.",place worth food drool worthy asif,Positive,"Food Quality, Location",Service
Narkar Digambar,0 reviews,0 Followers,5.0,Visit errata friend service staff beatiful ambience #asifshaikh gave an amazing service thanks,visit errata friend service staff beatiful ambience gave amazing service thanks,Positive,"Service, Location",Service
Hrithik,0 reviews,0 Followers,5.0,Asif Shaikh served well.,asif shaikh served,Neutral,General,Service
Urvi,0 reviews,0 Followers,5.0,Excellent coffee and ambience. Very good service by Aseem Sheikh!,excellent coffee good service aseem,Positive,"Service, Food Quality",Service
Ajay Raj,0 reviews,1 Followers,5.0,"Asif at Ettara is great at his work, and I must say, his service was absolutely excellent! Asif always make sure I felt welcome and well taken care of. His friendly attitude really made the experience stand out. Highly recommend! In any case, Ettara is a great place to be at",asif ettara great must service absolutely asif always make sure felt welcome well taken care friendly attitude really made experience stand highly ettara great place,Positive,"Service, Location",Location
Rishita Desai,0 reviews,26 Followers,5.0,Nice coffee and service is also best by Mr. Ashif and Ms. Sonalika. 👍,nice coffee service also best ashif,Positive,"Service, Food Quality",Service
Shreya Agrawal,0 reviews,0 Followers,5.0,Was served by Asif and he was great. Love love the ambience.,served asif love love,Positive,General,Service
Monil Gheewala,0 reviews,4 Followers,5.0,"Asif/Sonalika

Excellent Coffee, Good Hygiene, Personlised service … Perfect Hangout place.

I have been regular here since few months and won’t switch. Good part is 24 x 7 operational.

Best option for my early morning coffee and Me time 🤩

Thank you team Ettarra",excellent good personlised service perfect hangout regular since months good part x best option early morning coffee time thank team ettarra,Positive,"Service, Food Quality",Food
Chets,0 reviews,1 Followers,5.0,"*5/5 Stars*

I recently visited ettarra and was blown away by the exceptional coffee and warm atmosphere! The person who made my coffee Asif Shaikh is knowledgeable and makes the coffee just the way I love

The shop itself is cozy and inviting, with plenty of seating and natural light.

Overall, I highly recommend ettarra to anyone looking for a top-notch coffee experience.

*Rating Breakdown*

- Quality of Coffee: 5/5
- Atmosphere: 5/5
- Service: 5/5
- Value: 5/5",recently visited ettarra blown away exceptional coffee warm person made coffee asif shaikh knowledgeable makes coffee way love shop cozy plenty seating natural highly recommend ettarra anyone looking coffee quality,Positive,"Food Quality, Location",Service
Jyoti Sharma,0 reviews,0 Followers,5.0,asif shak i really like the satra cascara ice tea and the asif is good,asif shak really like satra cascara ice tea asif good,Positive,General,Service
Stuti Modi,0 reviews,1 Followers,5.0,Asif Shaikh is helpful and treat their customers well,asif shaikh helpful treat customers well,Neutral,General,Service
Shubham Shah,0 reviews,1 Followers,5.0,Asif Shaikh nice and polite person good service,asif shaikh nice polite person good service,Positive,Service,Service
Mithilesh,0 reviews,153 Followers,5.0,Aasif was very courteous and excellent service and good,aasif courteous excellent service good,Positive,Service,Service
Jigar,0 reviews,0 Followers,5.0,"Very good service.
Good Suggestions from Asif sheikh

Had a wonderful evening",good good suggestions asif sheikh wonderful evening,Positive,General,Service
Dharun Vij,0 reviews,0 Followers,5.0,asif shaikh served us very well,asif shaikh served us well,Neutral,General,Service
Jatin Sharma,0 reviews,0 Followers,5.0,Greatt coffee and wonderful service Asif and Sonalika ♥️,greatt coffee wonderful service asif sonalika,Positive,"Service, Food Quality",Service
Kashish Manglani,0 reviews,0 Followers,5.0,Amazing service and coffee…Asif Shaikh served us well…..,amazing service shaikh served us,Positive,Service,Service
Abhishek,0 reviews,1 Followers,5.0,Asif shaikh provided us the best service and chewy brownie is too die for.,asif shaikh provided us best service chewy brownie die,Positive,Service,Service
Sowmya Bali,0 reviews,58 Followers,5.0,"Whenever i visit thIs cafe , We are always treated very well by the staff . Today Asif Shaikh Took very good care of us . He was very Respectful , and did not take a minute to help us whenever Anything was needed. Thanks much .",whenever visit cafe always treated well staff today asif shaikh took good care us respectful take minute help us whenever anything thanks much,Positive,Service,Service
Sonechak@gmail.com,0 reviews,0 Followers,5.0,Asif shaikh was a great server the food was very good,asif shaikh great server food good,Positive,Food Quality,Service
Siddhata Deshmukh,0 reviews,5 Followers,5.0,"it was my first time at ettara nd Asif Sheikh recommended me South Indian Frappe , it was Bang On , loved his recommendation and the overall vibe",first time ettara nd asif sheikh recommended south indian frappe bang loved recommendation overall vibe,Positive,General,Food
Manak Kashyap,0 reviews,0 Followers,5.0,Amazing restaurant and service by Asif ♥️,amazing restaurant service asif,Positive,Service,Service
Parvatish Pradeep,0 reviews,4 Followers,5.0,"Really nice ambience and staff.
Lookout for the most adorable and sweetest staff member ever Sonalika.",really nice ambience lookout adorable sweetest staff member ever,Positive,"Service, Location",Service
Akash Jain,0 reviews,0 Followers,5.0,Asif shaikh helps us with choosing great coffee,asif shaikh helps us choosing great coffee,Positive,Food Quality,Service
Kinjubaby,0 reviews,0 Followers,5.0,sonalika and Asif awesome.... there recommendation and warmth was just perfect ... a perfect stop to hangout,sonalika asif recommendation warmth perfect perfect stop hangout,Positive,General,Food
